"Story","Title","Result","Date","Stability","Duration (s)"
"Testing User creation and verifying all data","Create a new user data","SUCCESS","2023-01-11T19:52:02.141Z[Europe/London]","0.0","7.11"
"Testing User creation and verifying all data","Get User details","SUCCESS","2023-01-11T19:52:10.092Z[Europe/London]","0.0","0.68"
"Testing User creation and verifying all data","Update  user details data","SUCCESS","2023-01-11T19:52:10.809Z[Europe/London]","0.0","1.09"
"Testing User creation and verifying all data","Delete user details","SUCCESS","2023-01-11T19:52:11.939Z[Europe/London]","0.0","1.19"
