"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will status code 404 when incorrect tag is provided","SUCCESS","2023-01-11T19:52:01.505Z[Europe/London]","0.0","5.86"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource","SUCCESS","2023-01-11T19:52:07.396Z[Europe/London]","0.0","1.27"
"Testing User creation and verifying all data","Create a new user data","SUCCESS","2023-01-11T19:52:02.141Z[Europe/London]","0.0","7.11"
"Testing User creation and verifying all data","Get User details","SUCCESS","2023-01-11T19:52:10.092Z[Europe/London]","0.0","0.68"
"Testing User creation and verifying all data","Update  user details data","SUCCESS","2023-01-11T19:52:10.809Z[Europe/London]","0.0","1.09"
"Testing User creation and verifying all data","Delete user details","SUCCESS","2023-01-11T19:52:11.939Z[Europe/London]","0.0","1.19"
"User data created in gorest application","CRUD Test","SUCCESS","2023-01-11T19:52:13.161Z[Europe/London]","0.0","5.59"
