"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will status code 404 when incorrect tag is provided","SUCCESS","2023-01-11T19:52:01.505Z[Europe/London]","0.0","5.86"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource","SUCCESS","2023-01-11T19:52:07.396Z[Europe/London]","0.0","1.27"
"User data driven test","Data Driven test for creating multiple users","FAILURE","2023-01-11T19:52:19.824Z[Europe/London]","0.0","6.55"
